Sample_ID,Pyro_Methylation_Status,Pyro_CpG1,Pyro_CpG2,Pyro_CpG3,Pyro_CpG4
1701-2165,Methylated,79.25,82.15,61.29,86.12
1701-2540,UnMethylated,0.55,0.94,1.69,2.27
1701-2595,UnMethylated,1.81,1.56,2.58,2.99
1701-2539,UnMethylated,1.09,1.04,2.17,2.7
1701-2719,Methylated,62.91,81.39,83.12,89.28
1701-2690,Methylated,24.92,52.86,76.07,73.32
1701-2590,Methylated,81.25,82.32,86.06,93.39
1701-2430,Methylated,23.99,72.95,74.78,80.38
1701-2769,UnMethylated,0.82,1.51,1.89,2.79
1701-2623,Methylated,71.23,73.59,77.23,89.02
1701-2345,UnMethylated,0.92,1.18,2.17,2.72
1701-2074,Methylated,7.11,8.78,26.73,44.35
1701-2275,UnMethylated,1.51,1.68,2.17,2.94
1701-2777,UnMethylated,0.57,0.97,2.28,2.63
1701-2312,UnMethylated,0.87,1.39,3.65,2.76
1701-2296,UnMethylated,0.73,1.09,1.75,2.63
1701-2545,UnMethylated,0.5,1.15,1.79,2.18
1701-2424,Methylated,15.77,38.47,39.14,39.1
1701-2365,Methylated,5.14,5.73,14.83,23.58
1701-2541,UnMethylated,0.76,0.85,2.48,2.43
1701-2950,UnMethylated,1.16,1.4,1.72,2.83
1701-2347,Methylated,9.47,29.85,9.36,18.86
1701-2599,UnMethylated,9.29,10.47,4.33,11.62
1701-2815,Methylated,13.58,84.92,12,85.07
1701-2247,Methylated,37.81,40.64,39.14,75.65
1701-2609,UnMethylated,6.36,6.57,6.44,10.14
1701-2078,Methylated,26.14,42.77,43.09,42.21
1701-2306,UnMethylated,0.93,1.27,2.16,2.59
1701-2373,Methylated,9.52,11.05,8.91,50.93
1501-1667,Methylated,64.14,64.78,64.8,65.11
1501-1502,UnMethylated,1.9,2.09,4.91,4.77
1501-1700,UnMethylated,1.46,1.66,4.43,4.52
1501-1716,UnMethylated,1.92,2.01,4.32,5.32
1501-1757,Methylated,70.51,30.01,12.45,29.86
1501-1765,UnMethylated,1.37,1.72,3.17,4.17
1501-1770,UnMethylated,2.19,1.97,4.27,5.26
1501-1772,UnMethylated,1.33,1.64,4.29,4.49
1501-1848,UnMethylated,1.29,1.1,2.71,3.27
1501-1888,UnMethylated,1.67,1.57,2.9,3.14
1501-1993,UnMethylated,1.27,1.75,3.97,4.3
1501-1348,UnMethylated,1.24,1.73,3.67,4.13
1501-1375,UnMethylated,1.7,1.41,3.2,4.75
1501-1725,UnMethylated,1.55,1.72,4.1,4.98
1501-1858,UnMethylated,1.54,1.49,3.06,3.05
1501-2023,UnMethylated,1.51,1.8,4.21,5.07
1501-1487,UnMethylated,1.92,2.31,4,5.07
1501-1516,UnMethylated,2.71,2.89,4.45,5.06
1501-1634,Methylated,43.08,13.29,5.99,8.54
1501-1635,UnMethylated,5.09,10.55,8.13,13.73
1501-1677,UnMethylated,0.77,1.36,2.54,1.6
1501-2033,UnMethylated,1.07,1.61,3.74,4.07
1501-2098,UnMethylated,1.3,1.61,4.15,4.18
1501-2120,UnMethylated,1.24,2.41,2.41,4.08
1501-2160,UnMethylated,2.94,3.58,5.03,6.91
1501-2347,Methylated,28.98,79.97,12.68,26.14
1501-1535,Methylated,79.07,80.97,62.04,84.26
1501-1634,Methylated,43.08,13.29,5.99,8.54
1501-2159,Methylated,86.71,89.78,94.35,89.74
1601-0227,Methylated,19.14,14.93,47.91,54.41
1601-0353,Methylated,54.7,56.92,58.13,60.93
1501-1365,Methylated,32.66,46.4,60.46,62.54
1501-1486,Methylated,49.32,20.09,40.38,20.15
1501-2159,Methylated,86.71,89.78,94.35,89.74
1501-2349,Methylated,24.94,15.96,34.59,30.39
1501-1817,Methylated,12.74,7.11,20.78,19.57
1501-1862,Methylated,62.67,17.98,61.87,64.96
1501-2425,Methylated,10.01,47.88,10.71,13.07
1501-1880,Methylated,41.77,42.98,43.68,44.48
1501-2391,Methylated,57.05,48.8,64.66,60.56
1501-2347,Methylated,28.98,79.97,12.68,26.14
1501-1992,Methylated,45.45,52.54,48.93,54.01
1601-0353,Methylated,54.7,56.92,58.13,60.93
1501-2396,UnMethylated,1.76,3.17,6.01,4.45
1601-0279,Methylated,49.65,42.87,19.38,51.15
1501-2297,Methylated,39.68,8.41,6.53,12.86
1501-2348,UnMethylated,1.1,1.48,3.77,4.73
1501-2390,UnMethylated,2.02,1.85,3.48,4.77
1601-0085,UnMethylated,1.56,1.56,3.55,4.56
1601-0163,UnMethylated,2.2,1.4,4.6,4.9
1601-0249,UnMethylated,1.0,2.1,3.2,3.6
