"","SampleID","Pos","Valid_cov","Methylation_percent","N_mod","N_canon","N_other_mod","N_delete","N_fail","N_diff","N_nocall"
"1","103596",129461962,1,100,1,0,0,0,0,0,0
"2","103596",129462011,1,0,0,1,0,0,0,0,0
"3","103596",129462203,1,0,0,1,0,0,0,0,0
"4","103596",129462368,1,0,0,1,0,0,0,0,0
"5","103596",129462395,1,0,0,1,0,0,0,0,0
"6","103596",129462464,1,100,1,0,0,0,0,0,0
"7","103596",129462726,1,100,1,0,0,0,0,0,0
"8","103596",129462736,1,100,1,0,0,0,0,0,0
"9","103596",129462764,1,100,1,0,0,0,0,0,0
"10","103596",129462827,1,100,1,0,0,0,0,0,0
"11","103596",129462979,1,100,1,0,0,0,0,0,0
"12","103596",129463105,1,100,1,0,0,0,0,0,0
"13","103596",129463125,1,0,0,1,0,0,0,0,0
"14","103596",129463196,1,100,1,0,0,0,0,0,0
"15","103596",129463526,1,100,1,0,0,0,0,0,0
"16","103596",129463618,1,0,0,1,0,0,0,0,0
"17","103596",129463647,1,0,0,1,0,0,0,0,0
"18","103596",129463653,1,0,0,1,0,0,0,0,0
"19","103596",129463738,1,100,1,0,0,0,0,0,0
"20","103596",129463865,1,0,0,1,0,0,0,0,0
"21","103596",129463900,1,0,0,1,0,0,0,0,0
"22","103596",129463919,1,0,0,1,0,0,0,0,0
"23","103596",129463960,1,0,0,1,0,0,0,0,0
"24","103596",129464119,1,100,1,0,0,0,0,0,0
"25","103596",129464145,1,100,1,0,0,0,0,0,0
"26","103596",129464258,1,0,0,1,0,0,0,0,0
"27","103596",129464472,1,0,0,1,0,0,0,0,0
"28","103596",129464512,1,100,1,0,0,0,0,0,0
"29","103596",129464523,1,100,1,0,0,0,0,0,0
"30","103596",129464561,1,100,1,0,0,0,0,0,0
"31","103596",129464573,1,100,1,0,0,0,0,0,0
"32","103596",129464608,1,100,1,0,0,0,0,0,0
"33","103596",129464895,1,0,0,1,0,0,0,0,0
"34","103596",129464981,1,100,1,0,0,0,0,0,0
"35","103596",129465108,1,100,1,0,0,0,0,0,0
"36","103596",129465133,1,100,1,0,0,0,0,0,0
"37","103596",129465211,3,100,3,0,0,0,0,0,0
"38","103596",129465245,2,50,1,1,0,0,1,0,1
"39","103596",129465384,4,75,3,1,0,0,0,0,0
"40","103596",129465393,3,66.67,2,1,0,0,0,0,1
"41","103596",129465456,2,100,2,0,0,1,0,0,0
"42","103596",129465575,3,66.67,2,1,0,0,0,0,0
"43","103596",129465629,4,75,3,1,0,0,0,0,0
"44","103596",129465697,3,100,3,0,0,0,0,0,0
"45","103596",129465837,2,100,2,0,0,0,0,1,0
"46","103596",129465856,2,100,2,0,0,0,0,1,0
"47","103596",129465880,2,100,2,0,0,0,1,0,0
"48","103596",129465933,4,75,3,1,0,0,0,0,0
"49","103596",129465999,1,100,1,0,0,0,0,0,0
"50","103596",129466047,2,0,0,2,0,0,2,0,0
"51","103596",129466149,1,100,1,0,0,0,1,1,0
"52","103596",129466232,1,100,1,0,0,0,1,1,0
"53","103596",129466310,3,100,3,0,0,1,0,0,0
"54","103596",129466332,1,0,0,1,0,0,0,0,0
"55","103596",129466470,2,50,1,1,0,0,1,1,0
"56","103596",129466521,2,100,2,0,0,0,0,0,1
"57","103596",129466555,4,25,1,3,0,0,0,0,0
"58","103596",129466575,5,20,1,4,0,0,0,0,0
"59","103596",129466581,5,0,0,5,0,0,0,0,0
"60","103596",129466612,4,100,4,0,0,0,1,0,0
"61","103596",129466662,3,100,3,0,0,0,0,0,0
"62","103596",129466684,5,20,1,4,0,0,0,0,0
"63","103596",129466686,5,0,0,5,0,0,0,0,0
"64","103596",129466691,3,33.33,1,2,0,1,0,0,1
"65","103596",129466700,5,20,1,4,0,0,0,0,0
"66","103596",129466706,4,0,0,4,0,0,0,0,1
"67","103596",129466711,4,0,0,4,0,0,1,0,0
"68","103596",129466721,3,0,0,3,0,0,0,0,0
"69","103596",129466737,1,0,0,1,0,0,0,0,2
"70","103596",129466741,4,0,0,4,0,0,0,0,1
"71","103596",129466744,4,0,0,4,0,0,0,1,0
"72","103596",129466751,5,20,1,4,0,0,0,0,0
"73","103596",129466758,3,0,0,3,0,0,0,0,2
"74","103596",129466760,3,33.33,1,2,0,0,1,0,0
"75","103596",129466762,4,50,2,2,0,0,0,0,0
"76","103596",129466778,2,0,0,2,0,0,0,0,0
"77","103596",129466784,3,0,0,3,0,0,1,0,0
"78","103596",129466794,4,25,1,3,0,0,0,0,0
"79","103596",129466802,4,0,0,4,0,0,0,0,0
"80","103596",129466806,3,0,0,3,0,0,0,0,1
"81","103596",129466808,4,25,1,3,0,0,0,0,0
"82","103596",129466836,3,0,0,3,0,1,0,0,0
"83","103596",129466872,3,0,0,3,0,0,0,0,1
"84","103596",129466887,3,0,0,3,0,1,0,0,0
"85","103596",129466890,4,0,0,4,0,0,0,0,0
"86","103596",129466894,3,0,0,3,0,1,0,0,0
"87","103596",129466904,3,0,0,3,0,1,0,0,0
"88","103596",129466908,4,25,1,3,0,0,0,0,0
"89","103596",129466920,2,0,0,2,0,0,0,0,0
"90","103596",129466929,3,0,0,3,0,0,1,0,0
"91","103596",129466941,3,0,0,3,0,1,0,0,0
"92","103596",129466944,4,0,0,4,0,0,0,0,0
"93","103596",129466950,2,0,0,2,0,0,0,0,0
"94","103596",129466964,3,0,0,3,0,0,0,1,0
"95","103596",129466967,3,0,0,3,0,1,0,0,0
"96","103596",129466972,4,0,0,4,0,0,0,0,0
"97","103596",129466975,4,0,0,4,0,0,0,0,0
"98","103596",129466982,3,0,0,3,0,0,1,0,0
"99","103596",129466990,2,50,1,1,0,0,0,0,2
"100","103596",129467008,4,0,0,4,0,0,0,0,0
"101","103596",129467011,3,0,0,3,0,0,1,0,0
"102","103596",129467014,4,0,0,4,0,0,0,0,0
"103","103596",129467017,2,0,0,2,0,0,1,1,0
"104","103596",129467030,2,0,0,2,0,0,1,0,1
"105","103596",129467033,3,0,0,3,0,0,0,0,1
"106","103596",129467038,3,0,0,3,0,0,0,0,1
"107","103596",129467042,3,0,0,3,0,1,0,0,0
"108","103596",129467046,2,0,0,2,0,0,0,0,0
"109","103596",129467057,3,0,0,3,0,0,0,0,1
"110","103596",129467066,4,0,0,4,0,0,0,0,0
"111","103596",129467073,4,0,0,4,0,0,0,0,0
"112","103596",129467084,3,0,0,3,0,0,1,0,0
"113","103596",129467090,3,0,0,3,0,0,1,0,0
"114","103596",129467092,4,0,0,4,0,0,0,0,0
"115","103596",129467094,4,0,0,4,0,0,0,0,0
"116","103596",129467099,3,0,0,3,0,1,0,0,0
"117","103596",129467105,4,0,0,4,0,0,0,0,0
"118","103596",129467111,2,0,0,2,0,1,1,0,0
"119","103596",129467113,4,25,1,3,0,0,0,0,0
"120","103596",129467115,3,0,0,3,0,0,1,0,0
"121","103596",129467140,4,0,0,4,0,0,1,0,0
"122","103596",129467146,5,20,1,4,0,0,0,0,0
"123","103596",129467151,4,50,2,2,0,0,1,0,0
"124","103596",129467163,3,0,0,3,0,0,1,0,1
"125","103596",129467170,4,25,1,3,0,1,0,0,0
"126","103596",129467173,5,20,1,4,0,0,0,0,0
"127","103596",129467182,4,25,1,3,0,0,0,0,1
"128","103596",129467191,4,0,0,4,0,0,1,0,0
"129","103596",129467197,4,0,0,4,0,0,1,0,0
"130","103596",129467203,5,20,1,4,0,0,0,0,0
"131","103596",129467205,5,20,1,4,0,0,0,0,0
"132","103596",129467210,4,25,1,3,0,0,0,1,0
"133","103596",129467229,4,0,0,4,0,0,1,0,0
"134","103596",129467231,5,20,1,4,0,0,0,0,0
"135","103596",129467242,4,0,0,4,0,1,0,0,0
"136","103596",129467249,4,0,0,4,0,0,1,0,0
"137","103596",129467254,4,0,0,4,0,0,1,0,0
"138","103596",129467257,4,0,0,4,0,0,2,0,0
"139","103596",129467261,4,25,1,3,0,0,0,1,1
"140","103596",129467271,6,0,0,6,0,0,0,0,0
"141","103596",129467273,3,0,0,3,0,0,1,0,0
"142","103596",129467278,5,0,0,5,0,0,0,0,1
"143","103596",129467283,6,0,0,6,0,0,0,0,0
"144","103596",129467289,5,0,0,5,0,0,1,0,0
"145","103596",129467310,4,0,0,4,0,1,0,0,1
"146","103596",129467315,5,0,0,5,0,0,1,0,0
"147","103596",129467321,4,25,1,3,0,1,1,0,0
"148","103596",129467331,4,0,0,4,0,0,0,0,0
"149","103596",129467344,5,0,0,5,0,0,1,0,0
"150","103596",129467349,5,0,0,5,0,1,0,0,0
"151","103596",129467361,6,0,0,6,0,0,0,0,0
"152","103596",129467377,5,0,0,5,0,0,0,0,0
"153","103596",129467388,5,0,0,5,0,0,0,0,0
"154","103596",129467391,4,0,0,4,0,1,0,0,0
"155","103596",129467394,4,25,1,3,0,1,0,0,0
"156","103596",129467406,4,0,0,4,0,1,0,0,0
