,DataSet,Sample,Pos,Calls_num,Meth_num,Percent_Methylated,feature
1,Rapid-CNS,103596,131264785,1,1,100,Promoter
2,Rapid-CNS,103596,131264819,3,1,33.3333333333333,Promoter
3,Rapid-CNS,103596,131264839,4,1,25,Promoter
4,Rapid-CNS,103596,131264845,5,0,0,Promoter
5,Rapid-CNS,103596,131264876,4,4,100,Promoter
6,Rapid-CNS,103596,131264926,3,3,100,Promoter
7,Rapid-CNS,103596,131264948,5,1,20,Promoter
8,Rapid-CNS,103596,131264950,4,0,0,Promoter
9,Rapid-CNS,103596,131264955,4,1,25,Promoter
10,Rapid-CNS,103596,131264964,5,1,20,Promoter
11,Rapid-CNS,103596,131264970,5,0,0,Promoter
12,Rapid-CNS,103596,131264975,5,0,0,Promoter
13,Rapid-CNS,103596,131264985,5,0,0,Promoter
14,Rapid-CNS,103596,131265001,5,0,0,Promoter
15,Rapid-CNS,103596,131265005,5,0,0,Promoter
16,Rapid-CNS,103596,131265008,5,0,0,Promoter
17,Rapid-CNS,103596,131265015,5,0,0,Promoter
18,Rapid-CNS,103596,131265022,4,0,0,Promoter
19,Rapid-CNS,103596,131265024,3,0,0,Promoter
20,Rapid-CNS,103596,131265026,4,1,25,Promoter
21,Rapid-CNS,103596,131265042,3,0,0,Promoter
22,Rapid-CNS,103596,131265048,4,0,0,Promoter
23,Rapid-CNS,103596,131265058,4,1,25,Promoter
24,Rapid-CNS,103596,131265066,4,0,0,Promoter
25,Rapid-CNS,103596,131265070,4,0,0,Promoter
26,Rapid-CNS,103596,131265072,4,0,0,Promoter
27,Rapid-CNS,103596,131265100,4,0,0,Promoter
28,Rapid-CNS,103596,131265136,4,0,0,Promoter
29,Rapid-CNS,103596,131265151,3,0,0,Promoter
30,Rapid-CNS,103596,131265154,4,0,0,Promoter
31,Rapid-CNS,103596,131265158,4,0,0,Promoter
32,Rapid-CNS,103596,131265168,4,0,0,Promoter
33,Rapid-CNS,103596,131265172,4,0,0,Promoter
34,Rapid-CNS,103596,131265184,3,0,0,Promoter
35,Rapid-CNS,103596,131265193,4,0,0,Promoter
36,Rapid-CNS,103596,131265205,4,0,0,Promoter
37,Rapid-CNS,103596,131265208,4,0,0,Promoter
38,Rapid-CNS,103596,131265214,3,0,0,Promoter
39,Rapid-CNS,103596,131265228,4,0,0,Promoter
40,Rapid-CNS,103596,131265231,4,0,0,Promoter
41,Rapid-CNS,103596,131265236,4,0,0,Promoter
42,Rapid-CNS,103596,131265239,4,0,0,Promoter
