"Sample_ID","Series","Pos","Type","Quality","Depth","Percent_Methylated","UnMethylated","Methylated","No_call"
"103596","Rapid-CNS",131264785,"5hmC",750,4,0,3,0,0
"103596","Rapid-CNS",131264819,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131264839,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264845,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264876,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264926,"5hmC",600,5,0,3,0,0
"103596","Rapid-CNS",131264948,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264950,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264955,"5hmC",800,5,0,4,0,0
"103596","Rapid-CNS",131264964,"5hmC",800,5,0,4,0,1
"103596","Rapid-CNS",131264970,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264975,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264985,"5hmC",800,5,0,4,0,0
"103596","Rapid-CNS",131265001,"5hmC",800,5,0,4,0,0
"103596","Rapid-CNS",131265005,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131265008,"5hmC",800,5,0,4,0,0
"103596","Rapid-CNS",131265015,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131265022,"5hmC",1000,5,0,5,0,0
"103596","Rapid-CNS",131265024,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265026,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265042,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265048,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265058,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265066,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265070,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265072,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265100,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265136,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265151,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265154,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265158,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265168,"5hmC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265172,"5hmC",1000,4,0,4,0,0
